title,price,category,description,town,condition,price_type,quantity
iPhone 13 Pro 256GB,280000,Phones & Accessories,Brand new iPhone 13 Pro sealed in box with all accessories,Douala,new,fixed,1
Samsung 65inch Smart TV,450000,Electronics,Samsung 4K UHD Smart TV 1 year old excellent condition,Yaounde,used,negotiable,1
Ladies Office Dress Size 12,15000,Clothing & Fashion,Elegant office dress never worn with tags still on,Douala,new,fixed,3
Fresh Tomatoes 1 Basket,5000,Food & Groceries,Fresh farm tomatoes harvested this week available for delivery,Bafoussam,new,negotiable,10
Office Chair Executive,35000,Furniture & Home,Black leather executive office chair very comfortable,Douala,used,negotiable,1
Sunscreen SPF 50,3500,Beauty & Health,Neutrogena sunscreen SPF 50 original imported,Yaounde,new,fixed,5
Toyota Corolla Spare Parts,25000,Vehicles & Parts,Genuine Toyota Corolla 2015 headlights front pair,Douala,used,fixed,1
Rice 50kg Bag,28000,Agriculture,Imported long grain white rice 50kg bag,Douala,new,fixed,20
Cambridge IGCSE Textbook,8000,Books & Stationery,Cambridge IGCSE Combined Science textbook good condition,Yaounde,used,negotiable,1
Football Boots Size 42,12000,Sports & Fitness,Nike Mercurial football boots size 42 used twice,Douala,used,fixed,1
